Client,Practice Area,Matter Number,Matter Description,Responsible Attorney,Originating Attorney,Billable,Latest Bill,Attorney Name,Role,Practice Group ,Practice Description,Summary ,Area of Expertise,Education,Contact
"Sportsfinda, Inc.",,"00934-Sportsfinda, Inc.-NFT Terms and Conditions and Agent Agreements",NFT Terms and Conditions and Agent Agreements,Brian McEvoy,Brian McEvoy,Yes,6/3/22,,,,,,,,
"Vinmas Investments, LLC",,"00924-Vinmas Investments, LLC-1377 Tata Lane",1377 Tata Lane,Melissa Balough,Melissa Balough,Yes,3/9/22,,,,,,,,
Lendmarq LLC,,00925-Lendmarq LLC-General Corporate,General Corporate,David Reidy,Scale LLP,Yes,1/25/22,,,,,,,,
MazumaGo Inc.,,00926-MazumaGo Inc.-Privacy Policy,Privacy Policy,Cary Ullman,Cary Ullman,Yes,10/27/21,,,,,,,,
MazumaGo Inc.,Fintech & Financial Services,01428-MazumaGo Inc.-Fintech Legal Advice and Assistance,Fintech Legal Advice and Assistance,Cary Ullman,Cary Ullman,Yes,7/8/24,,,,,,,,
MazumaGo Inc.,Trademark/Copyright,02154-MazumaGo Inc.-IP Services: Trademarks,IP Services: Trademarks,Alexander Slafkosky,Cary Ullman,Yes,4/3/24,,,,,,,,
"SeaWorld Parks & Entertainment, Inc.",,"00930-SeaWorld Parks & Entertainment, Inc.-Coppel v. SeaWorld Parks & Entertainment, Inc., Case No. 3:21-cv-01430-CAB-RBB (S.D. Cal.)","Coppel v. SeaWorld Parks & Entertainment, Inc., Case No. 3:21-cv-01430-CAB-RBB (S.D. Cal.)",Natasha Fedder,Natasha Fedder,Yes,4/9/24,,,,,,,,
Remediation Risk Management Inc.,,00932-Remediation Risk Management Inc.-General Legal Matters,General Legal Matters,,,Yes,10/28/21,,,,,,,,
Kapwing Inc.,,00933-Kapwing Inc.-Update to Privacy Policy,Update to Privacy Policy,Jeff Lord,Jeff Lord,Yes,11/2/21,,,,,,,,
"Luxx Lighting, Inc.",,"00936-Luxx Lighting, Inc.-Fohse, Inc. v. Luxx Lighting, Inc.","Fohse, Inc. v. Luxx Lighting, Inc.",Marissa Fox,Marissa Fox,Yes,3/7/22,,,,,,,,
Kevin Sorensen,,00937-Sorensen-Streamline Acquisition,Streamline Acquisition,Marissa Fox,Marissa Fox,Yes,11/2/21,,,,,,,,
"BlackRock Advisors, LLC",,"00938-BlackRock Advisors, LLC-Funds support",Funds support,Adam Johnson,Adam Johnson,Yes,1/4/22,,,,,,,,
Corey Haines,,00941-Haines-Common Unit Purchase of Hey Marketers LLC,Common Unit Purchase of Hey Marketers LLC,Chris Jones,Chris Jones,Yes,2/3/22,,,,,,,,
SnapPay Inc.,,00942-SnapPay Inc.-General Corporate Work,General Corporate Work,Cary Ullman,Cary Ullman,Yes,3/7/22,,,,,,,,
"Leste Credit US (IA), LLC",,"00943-Leste Credit US (IA), LLC-General Corporate",General Corporate,David Reidy,Scale LLP,Yes,1/4/22,,,,,,,,
Side Inc.,Corporate & Securities,00944-Side Inc.-Commercial Contracts,Commercial Contracts,Brian Elliott,Brian Elliott,Yes,1/4/23,,,,,,,,
Kiwi Labs LLC,,00945-Kiwi Labs LLC-Asset Sale,Asset Sale,Kristen Dayley,Kristen Dayley,Yes,11/15/21,,,,,,,,
"Tahoe STEM Academy, LLC",Trademark/Copyright,"01007-Tahoe STEM Academy, LLC-US TM TAHOE STEM ACADEMY",US TM TAHOE STEM ACADEMY (& Design),Alandis Brassel,Alandis Brassel,Yes,1/3/22,,,,,,,,
Paladin Real Estate Group LLC,,00951-Paladin Real Estate Group LLC-Epoc Fund III-B,Epoc Fund III-B,Dori Karjian,Dori Karjian,Yes,7/8/24,,,,,,,,
Paladin Real Estate Group LLC,,01024-Paladin Real Estate Group LLC-Amended LLC Agreement and Phantom Plan,Amended LLC Agreement and Phantom Plan,Dori Karjian,Dori Karjian,Yes,5/4/22,,,,,,,,
Paladin Real Estate Group LLC,Corporate & Securities,01670-Paladin Real Estate Group LLC-EPOC Property Management,EPOC Property Management,Dori Karjian,Dori Karjian,Yes,12/5/23,,,,,,,,
Paladin Real Estate Group LLC,Corporate & Securities,01971-Paladin Real Estate Group LLC-Epoc Fund IV,Epoc Fund IV,Dori Karjian,Dori Karjian,Yes,7/6/23,,,,,,,,
Paladin Real Estate Group LLC,Corporate & Securities,01979-Paladin Real Estate Group LLC-General Corporate Matters,General Corporate Matters,Dori Karjian,Dori Karjian,Yes,7/8/24,,,,,,,,
Paladin Real Estate Group LLC,Litigation,03595-Paladin Real Estate Group LLC-EPOC Fund III Litigation,EPOC Fund III Litigation,Doug Mitchell,Doug Mitchell,Yes,11/8/23,,,,,,,,
"Dwelling Financial Technologies, Inc.",,"00952-Dwelling Financial Technologies, Inc.-Product advice and general counsel",Product advice and general counsel,Heather Cantua,Heather Cantua,Yes,4/3/24,,,,,,,,
"Dwelling Financial Technologies, Inc.",,"00953-Dwelling Financial Technologies, Inc.-Intellectual property advice and counsel",Intellectual property advice and counsel,Heather Cantua,Heather Cantua,Yes,,,,,,,,,
Jennifer and Ryan Woods,,00954-Woods-Acquisition of CA business,Acquisition of California accounting firm,Annie Jeong,Annie Jeong,Yes,2/3/22,,,,,,,,
"Sharebite, Inc.",,"00955-Sharebite, Inc.-General Corporate Work",General Corporate Work,Cary Ullman,Cary Ullman,Yes,11/3/22,,,,,,,,
"Mad Food Concepts, Inc.",,"00959-Mad Food Concepts, Inc.-General Corporate Matters for US Entity",General Corporate Matters for US Entity,Johnny Chen,Johnny Chen,Yes,4/5/22,,,,,,,,
Emano Metrics,,00960-Emano Metrics-External General Counsel Work et al,External General Counsel Work et al,Samer Korkor,Samer Korkor,Yes,11/3/22,,,,,,,,
Emano Metrics,Trademark/Copyright,01328-Emano Metrics-Trademark - US TM EMANO METRICS,Trademark - US TM EMANO METRICS,Lynne Boisineau,Samer Korkor,Yes,3/14/22,,,,,,,,
Sha Design LLC,*No Practice Group Selected / Restricted Matter,00961-Sha Design LLC-Trademark - US TM EATWELL (& Design),Trademark - US TM EATWELL (& Design),Lynne Boisineau,Robert Nichols,Yes,4/28/22,,,,,,,,
Francisco (Frank) F. Pena,,00962-F. Pena-General Counsel,General Counsel,Matthew Herlihy,Matthew Herlihy,Yes,4/27/22,,,,,,,,
"Programmarchy, LLC",,"00963-Programmarchy, LLC-Metacam",Metacam,Brian Elliott,Brian Elliott,Yes,1/4/22,,,,,,,,
"Journey Builders, Inc. d/b/a Core",,"00967-Journey Builders, Inc. d/b/a Core-General Outside Counsel",General Outside Counsel,Jeff Love,Scale LLP,Yes,2/6/24,,,,,,,,
FlightFX LLC,,00968-FlightFX LLC-General contracting and legal advice,General contracting and legal advice,Kristen Dayley,Kristen Dayley,Yes,6/5/24,,,,,,,,
Anowar Wadud,,00970-Wadud-A. WADUD v. City of New York,A. WADUD v. City of New York,Matthew Herlihy,Matthew Herlihy,Yes,2/3/22,,,,,,,,
"Jones Agency, Inc",,"00971-Jones Agency, Inc-General Business",General Business,Emma Thompson,Emma Thompson,Yes,7/8/24,,,,,,,,
Mutiny HQ Corporation,,00972-Mutiny HQ Corporation-General Business,General Business,Emma Thompson,Emma Thompson,Yes,7/8/24,,,,,,,,
Eliane Kabkab,,00973-Kabkab-Kabkab Naturalization,Kabkab Naturalization,Alfred Bridi,Alfred Bridi,Yes,3/6/23,,,,,,,,
"RF Wireless Pro, Inc.",,"00974-RF Wireless Pro, Inc.-General Counsel",General Counsel,Matthew Herlihy,Matthew Herlihy,Yes,7/7/22,,,,,,,,
"Levity Music, LLC",,"00977-Levity Music, LLC-Subcontractor Agreement",Subcontractor Agreement,Alandis Brassel,Alandis Brassel,Yes,3/7/22,,,,,,,,
Robin Schwamb,,00978-Schwamb-Estate of Norman Ainslie,Estate of Norman Ainslie,Matthew Herlihy,Matthew Herlihy,Yes,,,,,,,,,
Robin Schwamb,,00979-Schwamb-Estate of Robert and Robin Schwamb,Estate of Robert and Robin Schwamb,Matthew Herlihy,Matthew Herlihy,Yes,,,,,,,,,
"Lemonlight, Inc.",,"00980-Lemonlight, Inc.-Compensation plan review",Compensation plan review,Melissa Clarke,Melissa Clarke,Yes,6/5/24,,,,,,,,
Claribel C. Pena,,00981-C. Pena-General Counsel,General Counsel,Matthew Herlihy,Matthew Herlihy,Yes,5/4/22,,,,,,,,
Mohamed Abdelmeguid,,00984-Abdelmeguid-Mohamed Abdelmeguid (Ruru Juice LLC),Mohamed Abdelmeguid (Ruru Juice LLC),Jamie Wells,Jamie Wells,Yes,2/3/22,,,,,,,,
Buff Technologies Ltd,,00985-Buff Technologies Ltd-General Corporate Work,General Corporate Work,Cary Ullman,Cary Ullman,Yes,11/6/23,,,,,,,,
"Truebill, Inc",,"00986-Truebill, Inc-General Corporate Work",General Corporate Work,Cary Ullman,Cary Ullman,Yes,5/4/22,,,,,,,,
Little Universe LLC,,00988-Little Universe LLC-Holding company formation,Holding company formation,Brian McEvoy,Brian McEvoy,Yes,12/5/23,,,,,,,,
CURO Financial Technologies Corp.,Litigation,00989-CURO Financial Technologies Corp.-Amy Boyes v. Speedy Cash,Amy Boyes v. Speedy Cash,Jamie Wells,Jamie Wells,Yes,3/11/22,,,,,,,,
CURO Financial Technologies Corp.,Litigation,"01009-CURO Financial Technologies Corp.-Roberts, Kevin W.","Roberts, Kevin W.",Jamie Wells,Jamie Wells,Yes,4/7/22,,,,,,,,
CURO Financial Technologies Corp.,Litigation,"01045-CURO Financial Technologies Corp.-Graham, Daniel","Graham, Daniel",Jamie Wells,Jamie Wells,Yes,4/7/22,,,,,,,,
CURO Financial Technologies Corp.,Litigation,"01062-CURO Financial Technologies Corp.-Kokhanovski, Elena","Kokhanovski, Elena",Jamie Wells,Jamie Wells,Yes,9/6/22,,,,,,,,
CURO Financial Technologies Corp.,Litigation,01118-CURO Financial Technologies Corp. d/b/a Speedy Cash-CURO - Jasmine Benitez v. Speedy Cash,CURO - Jasmine Benitez v. Speedy Cash,Jamie Wells,Jamie Wells,Yes,4/7/22,,,,,,,,
CURO Financial Technologies Corp.,Litigation,"01135-CURO Financial Technologies Corp. d/b/a Speedy Cash-Nesmith, Jeannie","Nesmith, Jeannie",Jamie Wells,Jamie Wells,Yes,10/6/22,,,,,,,,
CURO Financial Technologies Corp.,Litigation,"01136-CURO Financial Technologies Corp. d/b/a Speedy Cash-Seaton, Lucretia L.","Seaton, Lucretia L.",Jamie Wells,Jamie Wells,Yes,3/11/22,,,,,,,,
CURO Financial Technologies Corp.,Litigation,"01222-CURO Financial Technologies Corp. d/b/a Speedy Cash-McCullough, Douglas","McCullough, Douglas",Jamie Wells,Jamie Wells,Yes,6/3/22,,,,,,,,
CURO Financial Technologies Corp.,Litigation,"01233-CURO Financial Technologies Corp. d/b/a Speedy Cash-Padilla, Hector","Padilla, Hector",Jamie Wells,Jamie Wells,Yes,5/4/22,,,,,,,,
CURO Financial Technologies Corp.,Litigation,"01504-CURO Financial Technologies Corp. d/b/a Speedy Cash-Ridenbaugh, Benjamin (Arbitration)","Ridenbaugh, Benjamin (Arbitration)",Jamie Wells,Jamie Wells,Yes,9/6/22,,,,,,,,
CURO Financial Technologies Corp.,Litigation,01525-CURO Financial Technologies Corp. d/b/a Speedy Cash-Jennifer Jordan (Pre-Litigation Demand),Jennifer Jordan (Pre-Litigation Demand),Jamie Wells,Jamie Wells,Yes,8/3/22,,,,,,,,
CURO Financial Technologies Corp.,Litigation,01665-CURO Financial Technologies Corp.-Josiah Koniecki (Missouri Small Claims),Josiah Koniecki (Missouri Small Claims),Jamie Wells,Jamie Wells,Yes,11/8/22,,,,,,,,
CURO Financial Technologies Corp.,Litigation,01837-CURO Financial Technologies Corp.-Krystal Bean v. First Heritage Credit,Krystal Bean v. First Heritage Credit,Jamie Wells,Jamie Wells,Yes,2/3/23,,,,,,,,
CURO Financial Technologies Corp.,Litigation,"01952-CURO Financial Technologies Corp.-Robert N. Black, III v. Stride Bank, N.A. (Louisiana Small Claims)","Robert N. Black, III v. Stride Bank, N.A. (Louisiana Small Claims)",Jamie Wells,Jamie Wells,Yes,5/8/23,,,,,,,,
CURO Financial Technologies Corp.,Litigation,03858-CURO Financial Technologies Corp.-Apolonio Lopez Chavez,Apolonio Lopez Chavez,Jamie Wells,Jamie Wells,Yes,7/8/24,,,,,,,,
CURO Financial Technologies Corp.,Litigation,04767-CURO Financial Technologies Corp.-Karen Hale,Karen Hale,,Jamie Wells,Yes,7/8/24,,,,,,,,
CURO Financial Technologies Corp.,Litigation,04857-CURO Financial Technologies Corp.-Mieachelle Cannon,Mieachelle Cannon,,Jamie Wells,Yes,7/8/24,,,,,,,,
"Till Everybody Notice, LLC",,"00990-Till Everybody Notice, LLC-Trademark US TM 10PERCENT",Trademark US TM 10PERCENT,Alandis Brassel,Alandis Brassel,Yes,11/30/21,,,,,,,,
"Markovits, Stock & DeMarco, LLC",,"00991-Markovits, Stock & DeMarco, LLC-As Class Counsel for Class Representatives Fred Cortright, Miller Rodgers, Robert (Bob) Bergman, Dick Zounes, and Carl Potts-ERISA Compliance Advice","As Class Counsel for Class Representatives Fred Cortright, Miller Rodgers, Robert (Bob) Bergman, Dick Zounes, and Carl Potts-ERISA Compliance Advice",Natasha Fedder,Natasha Fedder,Yes,6/10/22,,,,,,,,
"WC Midwest Retail Portfolio, LLC",Litigation,"00946-WC Midwest Retail Portfolio, LLC-WC MRP Kansas -Receiver",WC MRP Kansas -Receiver,Brian Elliott,Brian Elliott,Yes,6/3/24,,,,,,,,
"WC Midwest Retail Portfolio, LLC",Litigation,"00992-WC Midwest Retail Portfolio, LLC-WC MRP Iowa - WC MRP – Iowa – Receiver/Foreclosure",WC MRP Iowa - WC MRP – Iowa – Receiver/Foreclosure,Brian Elliott,Brian Elliott,Yes,7/8/24,,,,,,,,
"WC Midwest Retail Portfolio, LLC",,"00993-WC Midwest Retail Portfolio, LLC-WC MRP – Iowa – Petsmart – Lease",WC MRP – Iowa – Petsmart – Lease,Brian Elliott,Brian Elliott,Yes,7/8/24,,,,,,,,
"WC Midwest Retail Portfolio, LLC",,"00994-WC Midwest Retail Portfolio, LLC-WC MRP – Iowa – Hubbell – Show Cause",WC MRP – Iowa – Hubbell – Show Cause,Brian Elliott,Brian Elliott,Yes,12/5/23,,,,,,,,
"WC Midwest Retail Portfolio, LLC",Litigation,"01356-WC Midwest Retail Portfolio, LLC-WC MRP Calumet Center, LLC","WC MRP Calumet Center, LLC",Brian Elliott,Brian Elliott,Yes,7/8/24,,,,,,,,
"WC Midwest Retail Portfolio, LLC",Litigation,"01357-WC Midwest Retail Portfolio, LLC-WC MRP Champaign Center, LLC","WC MRP Champaign Center, LLC",Brian Elliott,Brian Elliott,Yes,6/3/24,,,,,,,,
Adam Madoian,,00995-Madoian-Joseph Nardo et al v. Adam Madoian,Joseph Nardo et al v. Adam Madoian,Matthew Herlihy,Matthew Herlihy,Yes,7/7/22,,,,,,,,
Go Boom Inc,,00996-Go Boom Inc-General Corporate Work,General Corporate Work,Cary Ullman,Cary Ullman,Yes,3/6/23,,,,,,,,
Daria Filatova,,00997-Filatova-Filatova O-1 Visa,Filatova O-1 Visa,Alfred Bridi,Alfred Bridi,Yes,7/7/22,,,,,,,,
"#TeamG, LLC",Trademark/Copyright,"00999-#TeamG, LLC-Trademark",Trademark - US TM #TEAMG,Brian Elliott,Brian Elliott,Yes,2/3/23,,,,,,,,
"#TeamG, LLC",,"01008-#TeamG, LLC-US TM #TEAMG",US TM #TEAMG,Brian Elliott,Brian Elliott,Yes,,,,,,,,,
"Dancing in the Moonlight, Inc.",,"01000-Dancing in the Moonlight, Inc.-Corporate Law Matters",Corporate Law Matters,Chris Jones,Alfred Bridi,Yes,7/9/24,,,,,,,,
"Think Creative Collective, LLC",,"01004-Think Creative Collective, LLC-Cease and Desist (TINY OFFER)",Cease and Desist (TINY OFFER),Alandis Brassel,Alandis Brassel,Yes,11/26/21,,,,,,,,
"Exodus Movement, Inc.",,"01010-Exodus Movement, Inc.-Sports Betting",Sports Betting,Scott Wiegand,Scott Wiegand,Yes,2/7/22,,,,,,,,
Ryan Howard,,01011-Howard-K50 Fund III,K50 Fund III,Dori Karjian,Dori Karjian,Yes,9/7/23,,,,,,,,
Ryan Howard,Real Estate & Land Use,01447-Howard-CA Residential Lease and Settlement,CA Residential Lease and Settlement,Dori Karjian,Dori Karjian,Yes,6/3/22,,,,,,,,
Ryan Howard,Corporate & Securities,03539-Howard-General Advisory,General Advisory,Dori Karjian,Dori Karjian,Yes,10/4/23,,,,,,,,
Sahouri Insurance,,01012-Sahouri Insurance-Litigation advice,Litigation advice,Samer Korkor,Samer Korkor,Yes,7/8/24,,,,,,,,
Sahouri Insurance,,01231-Sahouri Insurance-General compliance advice,General compliance advice,Samer Korkor,Samer Korkor,Yes,4/5/22,,,,,,,,
Steve S. Tadros,,01013-S. Tadros-Criminal Defense Matter,Criminal Defense Matter,Samer Korkor,Samer Korkor,Yes,8/31/22,,,,,,,,
Stac Labs,,01015-Stac Labs-Corporate Counsel,Corporate Counsel,Jeff Love,Jeff Love,Yes,2/5/24,,,,,,,,
Balanced Consulting LLC,,01016-Balanced Consulting LLC-General Counsel,General Counsel,Matthew Herlihy,Matthew Herlihy,Yes,2/3/22,,,,,,,,
Rolling Inc.,,01019-Rolling Inc.-General Corporate Matters,General Corporate Matters,Johnny Chen,Johnny Chen,Yes,5/3/22,,,,,,,,
Eve Energy Ventures Inc. (dba Xeal Energy),,01020-Eve Energy Ventures Inc. (dba Xeal Energy)-General Corporate Matters,General Corporate Matters,Johnny Chen,Johnny Chen,Yes,5/3/22,,,,,,,,
Eve Energy Ventures Inc. (dba Xeal Energy),Trademark/Copyright,01327-Eve Energy Ventures Inc. (dba Xeal Energy)-Trademark - US TM HELIX,Trademark - US TM HELIX,Lynne Boisineau,Johnny Chen,Yes,3/14/22,,,,,,,,
Galleon Technologies Inc. (dba Shippabo),,01021-Galleon Technologies Inc. (dba Shippabo)-General Corporate Matters,General Corporate Matters,Johnny Chen,Johnny Chen,Yes,5/3/22,,,,,,,,
Aurelie Henry,,01022-Henry-McNarry dispute,McNarry dispute,Alexander Gershen,Alexander Gershen,Yes,2/7/22,,,,,,,,
Nicola Waugh,,01023-Waugh-Waugh Spousal Green Card,Waugh Spousal Green Card,Alfred Bridi,Alfred Bridi,Yes,2/18/22,,,,,,,,
Robert Lorenz,,01026-Lorenz-PSNY v. Robert Lorenz,PSNY v. Robert Lorenz,Matthew Herlihy,Matthew Herlihy,Yes,1/19/22,,,,,,,,
"EK Projects, LLC",,"01027-EK Projects, LLC-Minority Investment from RZC Investments",Minority Investment from RZC Investments,Brian McEvoy,Brian McEvoy,Yes,3/9/22,,,,,,,,
"EK Projects, LLC",Corporate & Securities,"01983-EK Projects, LLC-Bridge Loan from Existing Members",Bridge Loan from Existing Members,Brian McEvoy,Brian McEvoy,Yes,9/7/23,,,,,,,,
"EK Projects, LLC",Corporate & Securities,"03492-EK Projects, LLC-General Corporate Matters",General Corporate Matters,Brian McEvoy,Brian McEvoy,Yes,9/7/23,,,,,,,,
"WC 4811 South Congress, LLC",Litigation,"01029-WC 4811 South Congress, LLC-Meandering Bend",Meandering Bend,Brian Elliott,Brian Elliott,Yes,7/8/24,,,,,,,,
"WC 4811 South Congress, LLC",Litigation,"01433-WC 4811 South Congress, LLC and WC Teakwood Plaza, LLC-WC Teakwood Plaza, LLC - Wrongful Foreclosure","WC Teakwood Plaza, LLC - Wrongful Foreclosure",Brian Elliott,Brian Elliott,Yes,7/8/24,,,,,,,,
CryptoWendyO,,01034-CryptoWendyO-General Counsel // IP Services,General Counsel // IP Services,Alandis Brassel,Alandis Brassel,Yes,1/4/22,,,,,,,,
CryptoWendyO,Trademark/Copyright,01463-CryptoWendyO-CryptoWendyO - Trademark - US TM CRYPTOWENDYO,CryptoWendyO - Trademark - US TM CRYPTOWENDYO,Alandis Brassel,Alandis Brassel,Yes,5/11/22,,,,,,,,
CryptoWendyO,Trademark/Copyright,01464-CryptoWendyO-CryptoWendyO - Trademark - US TM MOONBAGS,CryptoWendyO - Trademark - US TM MOONBAGS,Alandis Brassel,Alandis Brassel,Yes,3/6/23,,,,,,,,
RisingTech Inc.,,01035-RisingTech Inc.-Outside General Counsel - All Matters,Outside General Counsel - All Matters,Matthew Herlihy,Matthew Herlihy,Yes,6/3/22,,,,,,,,
Shirley Wooten,,01036-Wooten-Exercise Your Temple Intellectual Property,Exercise Your Temple Intellectual Property,Alandis Brassel,Alandis Brassel,Yes,9/29/23,,,,,,,,
Asteya Holding Corporation,,01037-Asteya Holding Corporation-Series B Financing,Series B Financing,Johnny Chen,Johnny Chen,Yes,5/3/22,,,,,,,,
Asteya Holding Corporation,Corporate & Securities,01262-Asteya Holding Corporation-Duplicate matter.  Do not use.,Duplicate matter.  Do not use.,Johnny Chen,Johnny Chen,Yes,3/7/22,,,,,,,,
Home Love LP,,01038-Home Love LP-Dissolution of Entity,Dissolution of Entity,Annie Jeong,Annie Jeong,Yes,2/3/22,,,,,,,,
Home Love 2 LP,,01039-Home Love 2 LP-Dissolution of Fund 2,Dissolution of Fund 2,Annie Jeong,Annie Jeong,Yes,2/3/22,,,,,,,,
ZAMA Health,,01041-ZAMA Health-Corporate Counsel,Corporate Counsel,Jeff Love,Dori Karjian,Yes,4/3/24,,,,,,,,
"Backbone Technologies, Inc.",,"01042-Backbone Technologies, Inc.-General Corporate Work",General Corporate Work,Cary Ullman,Cary Ullman,Yes,5/7/24,,,,,,,,
"Percapita Group, LLC",,"01043-Percapita Group, LLC-General Corporate Work",General Corporate Work,Cary Ullman,Cary Ullman,Yes,2/3/22,,,,,,,,
Silicon Hills Campus LLC,Litigation,01049-Silicon Hills Campus LLC-Silicon Hills et al v ATX Debt Fund et al,Silicon Hills et al v ATX Debt Fund et al,Brian Elliott,Brian Elliott,Yes,7/8/24,,,,,,,,
Silicon Hills Campus LLC,Litigation,01712-Silicon Hills Campus LLC-BMA v Silicon Hills Campus Cause No. D-1-GN-22-003628,BMA v Silicon Hills Campus Cause No. D-1-GN-22-003628,Brian Elliott,Brian Elliott,Yes,7/8/24,,,,,,,,
"Factor Technologies, Inc.",Fintech & Financial Services,"01050-Factor Technologies, Inc.-General Regulatory",General Regulatory,Alexander Gershen,Alexander Gershen,Yes,11/3/22,,,,,,,,
"Factor Technologies, Inc.",,"01076-Factor Technologies, Inc.-California Lenders License Application",California Lenders License Application,David Reidy,David Reidy,Yes,1/4/22,,,,,,,,
Keep Technologies Inc.,,01051-Keep Technologies Inc.-General Corporate Work,General Corporate Work,Cary Ullman,Cary Ullman,Yes,7/8/24,,,,,,,,
Keep Technologies Inc.,Fintech & Financial Services,01126-Keep Technologies Inc.-Tax Structuring,Tax Structuring,Cary Ullman,Cary Ullman,Yes,4/5/22,,,,,,,,
Keep Technologies Inc.,Corporate & Securities,01337-Keep Technologies Inc.-Canadian Tax Advice,Canadian Tax Advice,Annie Jeong,Annie Jeong,Yes,7/13/22,,,,,,,,
Merit Behavior Associates,,01052-Merit Behavior Associates-WKY Pro Bono Relief,WKY Pro Bono Relief,Michael Campbell,Michael Campbell,No,,,,,,,,,
Openlane Technology Corporation,Fintech & Financial Services,01053-Openlane Technology Corporation-General product counseling,General product counseling,Alexander Gershen,Alexander Gershen,Yes,6/5/24,,,,,,,,
Denver Fernando,,01054-Fernando-Individual Risk Assessment,Individual Risk Assessment,Samer Korkor,Samer Korkor,Yes,11/9/22,,,,,,,,
21CB Investments LLC,,01061-21CB Investments LLC-LLC Organization and General Corporate/Tax Matters,LLC Organization and General Corporate/Tax Matters,Annie Jeong,Annie Jeong,Yes,3/7/22,,,,,,,,
"Udon Labs, Inc.",,"01063-Udon Labs, Inc.-Trademark – US TM ALLSTREET",Trademark – US TM ALLSTREET,Lynne Boisineau,Johnny Chen,Yes,1/3/22,,,,,,,,
"Sycamore Entertainment Group, Inc.",,"01064-Sycamore Entertainment Group, Inc.-Vocal - Investment",Vocal - Investment,Chip Sloan,Chip Sloan,Yes,4/5/22,,,,,,,,
"Sycamore Entertainment Group, Inc.",Litigation,"01546-Sycamore Entertainment Group, Inc.-Core Sports",Core Sports,Chip Sloan,Chip Sloan,Yes,9/6/22,,,,,,,,
"Sycamore Entertainment Group, Inc.",Corporate & Securities,"01547-Sycamore Entertainment Group, Inc.-Chip Ganassi Racing",Chip Ganassi Racing,Chip Sloan,Chip Sloan,Yes,10/5/22,,,,,,,,
"Trustly, Inc.",Fintech & Financial Services,"01066-Trustly, Inc.-General product counseling",General product counseling,Alexander Gershen,Alexander Gershen,Yes,12/5/23,,,,,,,,
"Savvly, Inc.",,"01068-Savvly, Inc.-Pre-Seed Equity Investment",Pre-Seed Equity Investment,Brian McEvoy,Brian McEvoy,Yes,1/4/24,,,,,,,,
"Savvly, Inc.",Corporate & Securities,"01946-Savvly, Inc.-SAFE Fundraising Round",SAFE Fundraising Round,Brian McEvoy,Brian McEvoy,Yes,5/7/24,,,,,,,,
Total Upside Return Corporation,,01069-Total Upside Return Corporation-General Corporate,General Corporate,Faraz Rana,Faraz Rana,Yes,8/3/22,,,,,,,,
Total Upside Return Corporation,,01131-Total Upside Return Corporation-Factoring Agreement and Structure,Factoring Agreement and Structure,Faraz Rana,Faraz Rana,Yes,4/6/22,,,,,,,,
Didiomov & McDonnell,,01071-Didiomov & McDonnell-Lillaskog Lodge,Lilaskog Lodge,Marissa Fox,Marissa Fox,Yes,3/7/22,,,,,,,,
"Two Twenty Two, Inc. (dba “The Bitcoin Company”)",,"01072-Two Twenty Two, Inc. (dba “The Bitcoin Company”)-Fractional General Counsel",Fractional General Counsel,Cary Ullman,Cary Ullman,Yes,4/5/22,,,,,,,,
Eoin Matthews,,01073-Matthews-General Corporate Advice,General Corporate Advice,Johnny Chen,Johnny Chen,Yes,1/4/22,,,,,,,,
Dennis Negron,,01074-Negron-General Corporate Support,General Corporate Support,Johnny Chen,Johnny Chen,Yes,1/4/22,,,,,,,,
Satya Recs Limited (Ireland),,01075-Satya Recs Limited (Ireland)-Tax Planning,Tax Planning,Annie Jeong,Alfred Bridi,Yes,12/28/21,,,,,,,,
Doug Messer,,01077-Messer-Keys Token,Keys Token,Chip Sloan,Chip Sloan,Yes,2/3/22,,,,,,,,
"Kronml, Inc.",,"01078-Kronml, Inc.-Financing and outside general counsel - Advice and counsel regarding capital raising and such other general corporate advisory as may be requested by you from time to time",Financing and outside general counsel - Advice and counsel regarding capital raising and such other general corporate advisory as may be requested by you from time to time,Chris Jones,Adam Forest,Yes,3/6/24,,,,,,,,
"Kronml, Inc.",Patents,"02408-Kronml, Inc.-Patent Services",Patent Services,Adam Forest,Adam Forest,Yes,,,,,,,,,
"Alinea-Invest, Inc.",,"01079-Alinea-Invest, Inc.-Adoption of Company Stock Plan",Adoption of Company Stock Plan,Chris Jones,Chris Jones,Yes,6/5/24,,,,,,,,
"Inclusifi, Inc.",,"01081-Inclusifi, Inc.-Initial Customer Engagement",Initial Customer Engagement,Kay Caudle,David Reidy,Yes,4/5/22,,,,,,,,
Gaia Gina Danilian-Ardani,,01082-Danilian-Ardani-Segerstrom Center for the Arts Complaint,Segerstrom Center for the Arts Complaint,Matthew Herlihy,Alfred Bridi,Yes,6/3/22,,,,,,,,
"Vistrove, Inc.",,"01083-Vistrove, Inc.-General Corporate Matters",General Corporate Matters,Dori Karjian,Dori Karjian,Yes,2/3/22,,,,,,,,
Dori Karjian,,01401-Karjian-Business Development,Business Development,Dori Karjian,,No,,,,,,,,,
Dori Karjian,,01402-Karjian-Administrative,Administrative,Dori Karjian,,No,,,,,,,,,
CloudRider Connect,,01084-CloudRider Connect-General Corporate Matters,General Corporate Matters,Dori Karjian,Dori Karjian,Yes,,,,,,,,,
